PENGEMBANGAN PELAYANAN;;;;;;
BULAN : SEPTEMBER 2022;;;;;;
;;;;;;
A. RAWAT JALAN;;;;;;
;;;;;;
PENGUNJUNG;POLI PSIKIATRI;POLI NON PSIKIATRI;;PEKERJAAN;POLI PSIKIATRI;POLI NON PSIKIATRI
JUMLAH;267;;JUMLAH;267;;
;;;;;;
ASAL DAERAH;RAWAT INAP;;AGAMA;RAWAT INAP;;
SURAKARTA;30;;ISLAM;260;;
WONOGIRI;28;;KRISTEN;4;;
SUKOHARJO;33;;KATOLIK;2;;
KARANGANYAR;49;;HINDU;0;;
SRAGEN;49;;BUDHA;0;;
BOYOLALI;13;;-;1;;
KLATEN;5;;JUMLAH;267;;
BLORA;15;;;;;
GROBOGAN;3;;ITEM RAWAT INAP;RAWAT INAP;;
LAIN-LAIN JATENG;11;;PASIEN MASUK;236;;
NGAWI;8;;PASIEN KELUAR;267;;
MAGETAN;2;;* HIDUP;267;;
MADIUN;4;;   Atas Persetujuan Dokter;259;;
PONOROGO;2;;   Atas Permintaan Sendiri;8;;
PACITAN;4;;   Dirujuk;0;;
BOJONEGORO;1;;;;;
LAIN-LAIN JATIM;1;;* MATI < 48 JAM;0;;
LAIN-LAIN JATENG JATIM;9;;* MATI > 48 JAM;0;;
JUMLAH;267;;;;;
;;;HARI PERAWATAN;3902;;
;;;LAMA DIRAWAT;4003;;
;;;BOR;51,65;;
;;;LOS;14,99;;
;;;TOI;14,07;;
;;;BTO;1,03;;
;;;NDR;0,00;;
;;;GDR;0,00;;
